ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
LDOS:US,1,1,0,8000.0,1,Leidos Holdings Inc,Technology,1.0,BUY
KO:US,1,1,0,8000.0,1,The Coca-Cola Co,Consumer Staples,1.0,BUY
JNJ:US,3,2,1,8000.0,2,Johnson & Johnson,Healthcare,0.6666666666666666,BUY
JCI:US,1,1,0,8000.0,1,Johnson Controls International PLC,Industrials,1.0,BUY
JBL:US,1,1,0,8000.0,1,Jabil Inc,Technology,1.0,BUY
FTNT:US,1,1,0,8000.0,1,Fortinet Inc,Technology,1.0,BUY
MCK:US,1,1,0,8000.0,1,McKesson Corp,Healthcare,1.0,BUY
CMCSA:US,3,2,1,8000.0,2,Comcast Corp,Communication Services,0.6666666666666666,BUY
RCL:US,1,1,0,8000.0,1,Royal Caribbean Group,Consumer Discretionary,1.0,BUY
BKNG:US,1,1,0,8000.0,1,Booking Holdings Inc,Consumer Discretionary,1.0,BUY
AZO:US,1,1,0,8000.0,1,AutoZone Inc,Consumer Discretionary,1.0,BUY
TGOPY:US,1,1,0,8000.0,1,3I GROUP PLC,Financials,1.0,BUY
ARM:US,1,1,0,8000.0,1,ARM HOLDINGS PLC,Technology,1.0,BUY
ARES:US,1,1,0,8000.0,1,Ares Management Corp,Financials,1.0,BUY
APTV:US,1,1,0,8000.0,1,Aptiv PLC,Consumer Discretionary,1.0,BUY
TMUS:US,1,1,0,8000.0,1,T-Mobile US Inc,Communication Services,1.0,BUY
TOST:US,1,1,0,8000.0,1,TOAST INC,Technology,1.0,BUY
ANET:US,1,1,0,8000.0,1,Arista Networks Inc,Technology,1.0,BUY
AMZN:US,1,1,0,8000.0,1,Amazon.com Inc,Consumer Discretionary,1.0,BUY
TSLA:US,1,1,0,8000.0,1,Tesla Inc,Consumer Discretionary,1.0,BUY
TTWO:US,1,1,0,8000.0,1,Take-Two Interactive Software Inc,Communication Services,1.0,BUY
UBS:US,1,1,0,8000.0,1,UBS Group AG,Financials,1.0,BUY
